Description,Amount,Label
Purchased groceries online,50,
Luxury watch purchase,1200,
Booked flight tickets,500,
International wire transfer,10000,
Bought coffee at Starbucks,15,
Purchased electronics online,500,
Paid for gas at Shell station,30,
Transferred money to unknown account,30000,
Monthly Netflix subscription,20,
Jewelry purchase at XYZ Store,450,
Dinner at Olive Garden,75,
Bought sports equipment,200,
Sent money to international recipient,7000,
Paid phone bill via online banking,25,
Luxury handbag purchase,5000,
Bought snacks at vending machine,12,
Grocery shopping at Walmart,80,
Bought cryptocurrency on exchange,2500,
Weekend hotel stay at Holiday Inn,120,
Transferred funds to suspicious account,10000,
Ordered food delivery from Uber Eats,35,
High-value clothing purchase,2000,
Paid for parking downtown,10,
Airline ticket for domestic travel,500,
Large cash withdrawal from ATM,6500,
Subscription renewal for Spotify,100,
Gold coins purchased online,1500,
Donated to local charity,20,
Bought high-end gaming PC,4000,
Paid for car wash,50,
Transferred money to a bank account,50,
Purchased groceries online,1200,
Luxury watch purchase,500,
Booked flight tickets,10000,
International wire transfer,20,
Fast food purchase,2500,
Jewelry purchase,100,
Monthly gym membership,7000,
Electronics store purchase,35,
Pharmacy purchase,1500,
Designer handbag purchase,15,
Online music subscription,6000,
Purchase at luxury boutique,80,
Utility bill payment,2000,
Transfer to unknown account,120,
Restaurant dining,4000,
Luxury car down payment,25,
Coffee shop transaction,3000,
Purchase from international retailer,60,
Online grocery delivery,8500,
High-end electronics purchase,12,
Streaming service payment,9000,
Unverified online transaction,45,
Bookstore purchase,7500,
Luxury furniture purchase,90,
Local hardware store,5000,
International jewelry purchase,30,
Gas station payment,20000,
Large wire transfer,65,
Clothing store purchase,1000,
Luxury spa payment,500,
Grocery shopping at Walmart,45,
Bought a high-end smartphone,1200,
Movie tickets for family,60,
Transferred money to foreign account,8000,
Breakfast at local diner,25,
Purchased gold jewelry,3000,
Paid for Uber ride,15,
Unverified purchase at luxury store,6500,
Monthly Spotify subscription,10,
Bought gaming console online,500,
Lunch at McDonald's,12,
Bought fitness equipment,350,
Money transfer flagged as suspicious,7000,
Paid electricity bill,80,
High-value handbag purchase,4000,
Gas station refill,50,
Grocery delivery through Instacart,40,
Bought designer sunglasses,150,
Purchased movie streaming subscription,15,
Large wire transfer to unknown entity,12000,
Dinner at a local steakhouse,85,
Purchased high-end camera,3500,
Filled gas tank at BP station,45,
Unauthorized luxury watch purchase,8000,
Monthly Audible subscription,14,
Bought a laptop from online retailer,1200,
Coffee purchase at Dunkin' Donuts,10,
Bought a treadmill for home gym,2200,
Paid water bill,30,
Transferred money to suspicious account,6000,
Lunch at Chipotle,20,
Purchased a gold necklace,4500,
Grocery shopping at Target,55,
High-end furniture purchase,7500,
Purchased pet food at PetSmart,35,
Unverified purchase at luxury boutique,9000,
Paid internet bill,60,
Bought a smartwatch,700,
Dinner at a sushi restaurant,95,
Purchased headphones online,300,
Bought flowers for a birthday,25,
Transferred funds to international bank,5000,
Paid parking fee,5,
Unauthorized art gallery purchase,15000,
Bought books at Barnes & Noble,50,
Purchased a designer coat,1800,
Coffee and pastry at Starbucks,8,
Luxury car deposit,25000,
Fast food meal at Burger King,12,
Sent money to unverified recipient,10000,
Online grocery delivery,65,
Bought home theater system,5000,
Paid gym membership fee,40,
Bought a diamond ring,30000,
Breakfast at IHOP,18,
High-end electronics purchase,8000,
Paid phone bill online,30,
Jewelry purchase flagged as fraud,40000,
Monthly Hulu subscription,12,
Bought a pair of sneakers,200,
Dinner at a fine-dining restaurant,120,
Sent unverified money transfer,15000,
Bought groceries at Costco,70,
Unauthorized purchase at luxury brand,5000,
Bought a tablet from Amazon,300,
Large transaction flagged as suspicious,10000,
Grocery shopping at Trader Joe's,45,
Purchased luxury smartwatch,6000,
Ordered dinner from Uber Eats,30,
International money transfer,8000,
Bought coffee and snacks at Starbucks,15,
High-end laptop purchase,7500,
Paid gym membership for the year,300,
Bought diamond earrings,10000,
Subscribed to Disney+,10,
Bought smartphone from online retailer,1200,
Dinner at a local Italian restaurant,60,
Bought furniture for living room,6500,
Purchased gas at Chevron,40,
Sent money to a family member abroad,7000,
Paid water utility bill,25,
Booked tickets for a theme park,100,
Purchased high-end luxury bag,9000,
Grocery shopping at Safeway,50,
Paid for car servicing,200,
Purchased premium home theater system,12000,
Breakfast at Denny's,20,
Bought clothing from H&M,75,
Ordered a high-end drone online,8500,
Paid for online course subscription,35,
Sent money for international tuition,15000,
Paid cable TV bill,50,
Bought new washing machine,6000,
Coffee purchase at Tim Hortons,8,
Transferred savings to unverified account,20000,
Bought holiday gifts at Walmart,150,
Luxury resort booking,18000,
Subscribed to Audible,15,
Gas station refill at Shell,45,
Purchased gold chain at a jewelry store,5000,
Bought home workout equipment,7000,
Paid internet bill,40,
Purchased groceries from Amazon Fresh,60,
Ordered new refrigerator,7000,
Lunch at Subway,12,
Unverified high-value transfer to unknown,25000,
Bought plane tickets for a family trip,7000,
Grocery shopping at Whole Foods,55,
Purchased high-end headphones,6000,
Bought a new TV,8000,
Dinner at Outback Steakhouse,90,
Bought a new coffee machine,200,
Paid for landscaping service,150,
Jewelry purchase flagged as suspicious,10000,
Bought shoes at Foot Locker,100,
Monthly Netflix subscription,20,
Purchased high-end gaming PC,9000,
Paid for Uber ride,25,
Bought flowers for an anniversary,35,
Ordered new dishwasher,6500,
Paid for college application fees,120,
Booked a luxury cruise vacation,15000,
Breakfast at Panera Bread,18,
Purchased a sofa set for the living room,6000,
Bought groceries from a local market,30,
Purchased gold bracelet,7000,
Ordered takeout from Grubhub,25,
Bought an iPad Pro,1200,
Sent money to a charity organization,500,
Bought designer shoes,6500,
Monthly magazine subscription,12,
Paid for a concert ticket,75,
Unverified transaction at luxury retailer,10000,
Bought pet food at Petco,50,
Booked a luxury hotel for a vacation,8000,
Paid for car insurance,500,
Purchased luxury electric bike,9500,
Gas refill at Mobil,30,
Bought a new mattress,7000,
Bought groceries using Instacart,65,
High-end dining at a 5-star restaurant,12000,
Paid for babysitting services,200,
Bought new sneakers online,150,
Purchased diamond-studded earrings,15000,
Bought kitchen appliances,6000,
Grocery shopping at Aldi,40,
Bought luxury wristwatch,18000,
Paid for tutoring services,300,
Purchased new gaming console,400,
Sent funds flagged as high-risk,20000,
Ordered a new office chair,120,
Bought high-value home automation system,8000,
Bought a vacuum cleaner,250,
